action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id
change_to_left,False,False,False,True,True,False,False,True,True,swerve_left,0.001004703046781545,3.8770511150360107,34
change_to_left,False,False,False,True,True,False,False,True,True,swerve_right,0.0011323641295041124,3.849473237991333,34
change_to_right,False,False,False,True,True,False,True,True,True,change_to_left,0.8761281754630854,3.149775743484497,35
change_to_right,False,False,False,True,True,False,True,True,True,change_to_right,1.0,2.200737237930298,35
change_to_right,False,False,False,True,True,False,True,True,True,cruise,0.22302528626185825,3.170271158218384,35
change_to_right,False,False,False,True,True,False,True,True,True,keep,0.000999,3.2001397609710693,35
change_to_right,False,False,False,True,True,False,True,True,True,swerve_left,0.000999345702104248,3.135493040084839,35
change_to_right,False,False,False,True,True,False,True,True,True,swerve_right,0.0011128077922563596,3.175036668777466,35
change_to_left,False,False,False,True,True,False,True,True,True,change_to_left,1.0,2.1739017963409424,36
change_to_left,False,False,False,True,True,False,True,True,True,change_to_right,0.8794812929866354,3.2112627029418945,36
change_to_left,False,False,False,True,True,False,True,True,True,cruise,0.22302152641097803,3.242250919342041,36
change_to_left,False,False,False,True,True,False,True,True,True,keep,0.000999,3.223257541656494,36
change_to_left,False,False,False,True,True,False,True,True,True,swerve_left,0.000999345702104248,3.163114070892334,36
change_to_left,False,False,False,True,True,False,True,True,True,swerve_right,0.0011125114414987434,3.1731791496276855,36
change_to_right,False,False,False,True,True,True,False,True,True,change_to_left,0.8762091588816043,3.837301015853882,37
change_to_right,False,False,False,True,True,True,False,True,True,change_to_right,1.0,2.8119566440582275,37
change_to_right,False,False,False,True,True,True,False,True,True,cruise,0.2212427848806953,4.272321462631226,37
change_to_right,False,False,False,True,True,True,False,True,True,keep,0.000999,4.076417446136475,37
change_to_right,False,False,False,True,True,True,False,True,True,swerve_left,0.001004703046781545,4.03899621963501,37
change_to_right,False,False,False,True,True,True,False,True,True,swerve_right,0.0011323641295041124,4.053890943527222,37
change_to_left,False,False,False,True,True,True,False,True,True,change_to_left,1.0,2.993340492248535,38
change_to_left,False,False,False,True,True,True,False,True,True,change_to_right,0.879480960936676,3.9894955158233643,38
change_to_left,False,False,False,True,True,True,False,True,True,cruise,0.22124123290308872,4.040307283401489,38
change_to_left,False,False,False,True,True,True,False,True,True,keep,0.000999,4.037124156951904,38
change_to_left,False,False,False,True,True,True,False,True,True,swerve_left,0.001004703046781545,4.03259801864624,38
change_to_left,False,False,False,True,True,True,False,True,True,swerve_right,0.0011323641295041124,4.037123680114746,38
change_to_right,False,False,False,True,True,True,True,True,True,change_to_left,0.8759436445815694,4.036859035491943,39
change_to_right,False,False,False,True,True,True,True,True,True,change_to_right,1.0,2.981210470199585,39
change_to_right,False,False,False,True,True,True,True,True,True,cruise,0.22554628976076735,3.984668254852295,39
change_to_right,False,False,False,True,True,True,True,True,True,keep,0.000999,4.076057195663452,39
change_to_right,False,False,False,True,True,True,True,True,True,swerve_left,0.0010047690532435827,4.014785528182983,39
change_to_right,False,False,False,True,True,True,True,True,True,swerve_right,0.0011323641295041124,3.9929802417755127,39
change_to_left,False,False,False,True,True,True,True,True,True,change_to_left,1.0,3.009594440460205,40
change_to_left,False,False,False,True,True,True,True,True,True,change_to_right,0.8794805629895424,4.003753900527954,40
change_to_left,False,False,False,True,True,True,True,True,True,cruise,0.22554472440993842,4.005903244018555,40
change_to_left,False,False,False,True,True,True,True,True,True,keep,0.0009989999999999999,4.097214937210083,40
change_to_left,False,False,False,True,True,True,True,True,True,swerve_left,0.0010047690532435827,4.04752779006958,40
change_to_left,False,False,False,True,True,True,True,True,True,swerve_right,0.0011323641295041124,4.052992820739746,40
change_to_right,False,False,True,False,False,False,False,True,True,change_to_left,0.8762121772708368,3.987050771713257,41
change_to_right,False,False,True,False,False,False,False,True,True,change_to_right,1.0,3.0079452991485596,41
change_to_right,False,False,True,False,False,False,False,True,True,cruise,0.2187839013752495,4.045275926589966,41
change_to_right,False,False,True,False,False,False,False,True,True,keep,0.000999,4.071492433547974,41
change_to_right,False,False,True,False,False,False,False,True,True,swerve_left,0.001004703046781545,4.0220723152160645,41
change_to_right,False,False,True,False,False,False,False,True,True,swerve_right,0.0011323641295041124,4.035688877105713,41
cruise,False,False,True,False,False,False,False,True,True,change_to_left,0.8762125756652943,4.019192695617676,42
cruise,False,False,True,False,False,False,False,True,True,change_to_right,0.8794798476700739,4.0128679275512695,42
cruise,False,False,True,False,False,False,False,True,True,cruise,1.0,2.975614070892334,42
cruise,False,False,True,False,False,False,False,True,True,keep,0.000999,4.0631794929504395,42
cruise,False,False,True,False,False,False,False,True,True,swerve_left,0.001004703046781545,4.030157089233398,42
cruise,False,False,True,False,False,False,False,True,True,swerve_right,0.0011323641295041124,4.0119359493255615,42
change_to_left,False,False,True,False,False,False,False,True,True,change_to_left,1.0,3.0488855838775635,43
change_to_left,False,False,True,False,False,False,False,True,True,change_to_right,0.879483587944293,4.02261209487915,43
change_to_left,False,False,True,False,False,False,False,True,True,cruise,0.2187826267722907,4.026429176330566,43
change_to_left,False,False,True,False,False,False,False,True,True,keep,0.000999,4.203340768814087,43
change_to_left,False,False,True,False,False,False,False,True,True,swerve_left,0.001004703046781545,4.058356523513794,43
change_to_left,False,False,True,False,False,False,False,True,True,swerve_right,0.0011326605084351412,4.0757763385772705,43
change_to_right,False,False,True,False,False,False,True,True,True,change_to_left,0.8762125799097339,4.042430400848389,44
change_to_right,False,False,True,False,False,False,True,True,True,change_to_right,1.0,2.9992635250091553,44
change_to_right,False,False,True,False,False,False,True,True,True,cruise,0.21878446342676716,3.9644293785095215,44
change_to_right,False,False,True,False,False,False,True,True,True,keep,0.0009990000000000003,4.056122541427612,44
change_to_right,False,False,True,False,False,False,True,True,True,swerve_left,0.001004703046781545,4.0484864711761475,44
change_to_right,False,False,True,False,False,False,True,True,True,swerve_right,0.0011323641295041124,4.000919818878174,44
cruise,False,False,True,False,False,False,True,True,True,change_to_left,0.8762095308317416,4.024490594863892,45
cruise,False,False,True,False,False,False,True,True,True,change_to_right,0.87948056464811,4.0321502685546875,45
cruise,False,False,True,False,False,False,True,True,True,cruise,1.0,2.972818613052368,45
cruise,False,False,True,False,False,False,True,True,True,keep,0.0009989999999999999,4.07690691947937,45
cruise,False,False,True,False,False,False,True,True,True,swerve_left,0.001004703046781545,4.03880763053894,45
cruise,False,False,True,False,False,False,True,True,True,swerve_right,0.0011326605008226166,4.0007007122039795,45
change_to_left,False,False,True,False,False,False,True,True,True,change_to_left,1.0,2.9975109100341797,46
change_to_left,False,False,True,False,False,False,True,True,True,change_to_right,0.8794809294575026,4.00632643699646,46
change_to_left,False,False,True,False,False,False,True,True,True,cruise,0.21878543960148847,4.031928062438965,46
change_to_left,False,False,True,False,False,False,True,True,True,keep,0.0009990000000000003,4.072669744491577,46
change_to_left,False,False,True,False,False,False,True,True,True,swerve_left,0.001004703046781545,4.047968149185181,46
change_to_left,False,False,True,False,False,False,True,True,True,swerve_right,0.0011326604873254152,4.032491445541382,46
change_to_right,False,False,True,False,False,True,False,True,True,change_to_left,0.876212567001401,4.005151271820068,47
change_to_right,False,False,True,False,False,True,False,True,True,change_to_right,1.0,2.9623427391052246,47
change_to_right,False,False,True,False,False,True,False,True,True,cruise,0.21878572116341596,4.001787185668945,47
change_to_right,False,False,True,False,False,True,False,True,True,keep,0.000999,4.083538770675659,47
change_to_right,False,False,True,False,False,True,False,True,True,swerve_left,0.001004703046781545,4.028861045837402,47
change_to_right,False,False,True,False,False,True,False,True,True,swerve_right,0.0011323641295041126,4.043699502944946,47
cruise,False,False,True,False,False,True,False,True,True,change_to_left,0.8762148632334454,4.036860704421997,48
cruise,False,False,True,False,False,True,False,True,True,change_to_right,0.8794821318821591,4.04582953453064,48
cruise,False,False,True,False,False,True,False,True,True,cruise,1.0,2.9902124404907227,48
cruise,False,False,True,False,False,True,False,True,True,keep,0.000999,4.107639312744141,48
cruise,False,False,True,False,False,True,False,True,True,swerve_left,0.001004703046781545,4.04977560043335,48
cruise,False,False,True,False,False,True,False,True,True,swerve_right,0.0011326605084351412,4.031447410583496,48
